step,amplitude
0,0.0010000000000000124
1,0.00099934224280943322
2,0.000998159577799955
3,0.00099676886804342716
4,0.00099529677171043981
5,0.00099379378226310041
6,0.00099227997449382807
7,0.00099076330673860584
8,0.00098924692397270547
9,0.00098773206421692654
10,0.00098621921209141516
11,0.00098470855541128743
12,0.00098320016540937635
13,0.00098169406766814471
14,0.0009801902699532912
15,0.00097868877310245761
16,0.00097718957527075274
17,0.00097569267358055191
18,0.00097419806476050058
19,0.00097270574539164677
20,0.00097121571200215189
21,0.00096972796110348476
22,0.00096824248920417231
23,0.00096675929281496453
24,0.0009652783684507703
25,0.00096379971263144224
26,0.00096232332188204398
27,0.00096084919273283344
28,0.00095937732171945953
29,0.00095790770538272914
30,0.00095644034026891073
31,0.00095497522292942703
32,0.00095351234992110945
33,0.00095205171780590389
34,0.00095059332315117261
35,0.0009491371625294367
36,0.00094768323251855622
37,0.00094623152970151395
38,0.00094478205066664137
39,0.00094333479200746058
40,0.00094188975032269916
41,0.0009404469222162573
42,0.00093900630429732262
43,0.000937567893180195
44,0.00093613168548445673
45,0.00093469767783474489
46,0.00093326586686099126
47,0.0009318362491981851
48,0.00093040882148652212
49,0.00092898358037137713
50,0.00092756052250316456
51,0.00092613964453753161
52,0.00092472094313521985
53,0.00092330441496203881
54,0.00092189005668894919
55,0.00092047786499202967
56,0.00091906783655239059
57,0.00091765996805630225
58,0.00091625425619498268
59,0.00091485069766490245
60,0.00091344928916742968
61,0.0009120500274090791
62,0.00091065290910137162
63,0.00090925793096088598
64,0.00090786508970918474
65,0.00090647438207296636
66,0.00090508580478376906
67,0.00090369935457831408
68,0.00090231502819816884
69,0.0009009328223900171
70,0.00089955273390545244
71,0.00089817475950108156
72,0.00089679889593843236
73,0.00089542513998403753
74,0.00089405348840939356
75,0.00089268393799091076
76,0.00089131648550994363
77,0.00088995112775273725
78,0.00088858786151055998
79,0.00088722668357953225
80,0.00088586759076065267
81,0.0008845105798598533
82,0.00088315564768800105
83,0.00088180279106078285
84,0.00088045200679879546
85,0.00087910329172747248
86,0.0008777566426771791
87,0.00087641205648306662
88,0.00087506952998518163
89,0.00087372906002834835
90,0.00087239064346230375
91,0.00087105427714156622
92,0.00086971995792548603
93,0.00086838768267821038
94,0.00086705744826869285
95,0.00086572925157071476
96,0.00086440308946277239
97,0.00086307895882824313
98,0.00086175685655519394
99,0.00086043677953647976
100,0.00085911872466977761
101,0.00085780268885743622
102,0.00085648866900656432
103,0.00085517666202905205
104,0.00085386666484145836
105,0.00085255867436513069
106,0.00085125268752609708
107,0.00084994870125506151
108,0.00084864671248752882
109,0.00084734671816356943
110,0.00084604871522803399
111,0.00084475270063043924
112,0.00084345867132496236
113,0.0008421666242704424
114,0.00084087655643033145
115,0.00083958846477289308
116,0.0008383023462707925
117,0.00083701819790154913
118,0.00083573601664719557
119,0.00083445579949439864
120,0.00083317754343456031
121,0.00083190124546347151
122,0.00083062690258171618
123,0.00082935451179439975
124,0.00082808407011116393
125,0.00082681557454633288
126,0.00082554902211873834
127,0.00082428440985182338
128,0.00082302173477352594
129,0.0008217609939164223
130,0.00082050218431753039
131,0.00081924530301849909
132,0.00081799034706548941
133,0.00081673731350915494
134,0.00081548619940465081
135,0.00081423700181172437
136,0.00081298971779457569
137,0.00081174434442187057
138,0.00081050087876681119
139,0.00080925931790709388
140,0.00080801965892485
141,0.00080678189890669855
142,0.00080554603494375229
143,0.00080431206413153001
144,0.00080307998357000924
145,0.00080184979036362588
146,0.00080062148162127699
147,0.00079939505445620956
148,0.00079817050598613511
149,0.00079694783333323651
150,0.0007957270336240561
151,0.00079450810398947987
152,0.00079329104156489021
153,0.00079207584349002874
154,0.00079086250690891212
155,0.00078965102897012832
156,0.00078844140682648881
